| ROTPOSN | ROTPOSN end | accel age (s) |   bad |                      begin | duration (s) |                        end | nbars |     status | xaccels | yaccels |
|   -90.0 |       -90.0 |         0.035 | False | 2020-01-01 17:14:10.638000 |        1.565 | 2020-01-01 17:14:12.203000 |     0 |       Idle |    2854 |       0 |
|   -90.0 |       -90.0 |         0.124 | False | 2020-01-01 17:14:12.203000 |        0.089 | 2020-01-01 17:14:12.292000 |     0 |       Idle |    2854 |       0 |
|   -90.0 |       -90.0 |       206.868 | False | 2020-01-01 17:14:12.292000 |      206.744 | 2020-01-01 17:17:39.036000 |     0 |      Setup |    2854 |    4823 |
|   -90.0 |       -90.0 |       229.523 | False | 2020-01-01 17:17:39.036000 |       22.655 | 2020-01-01 17:18:01.691000 |     0 |      Setup |    2854 |    4823 |
|   -90.0 |       -90.0 |        265.34 | False | 2020-01-01 17:18:01.691000 |       35.817 | 2020-01-01 17:18:37.508000 |     0 |       Idle |    2854 |    4823 |
|   -90.0 |       -90.0 |       651.187 | False | 2020-01-01 17:18:37.508000 |      385.847 | 2020-01-01 17:25:03.355000 |    92 |     Moving |    2854 |    4823 |
|   -90.0 |       -90.0 |      2158.181 | False | 2020-01-01 17:25:03.355000 |     1506.994 | 2020-01-01 17:50:10.349000 |     0 |       Idle |    2854 |    4823 |
|   -90.0 |       -90.0 |      2181.847 | False | 2020-01-01 17:50:10.349000 |       23.666 | 2020-01-01 17:50:34.015000 |     0 |      Setup |    2854 |    4823 |
|   -90.0 |       -90.0 |      2224.836 | False | 2020-01-01 17:50:34.015000 |       42.989 | 2020-01-01 17:51:17.004000 |     0 |       Idle |    2854 |    4823 |
|   -90.0 |       -90.0 |         0.074 | False | 2020-01-01 17:51:17.004000 |      376.861 | 2020-01-01 17:57:33.865000 |    92 |     Moving |    1963 |    4864 |
|   -90.0 |      -148.0 |      1604.123 | False | 2020-01-01 17:57:33.865000 |     1604.049 | 2020-01-01 18:24:17.914000 |     0 |       Idle |    1963 |    4864 |
|  -148.0 |     -157.68 |       2434.57 | False | 2020-01-01 18:24:17.914000 |      830.447 | 2020-01-01 18:38:08.361000 |     0 |      Setup |    1963 |    4864 |
| -157.68 |     -157.65 |      2440.564 | False | 2020-01-01 18:38:08.361000 |        5.994 | 2020-01-01 18:38:14.355000 |     0 |      Setup |    1963 |    4864 |
| -157.65 |     -157.57 |      2461.342 | False | 2020-01-01 18:38:14.355000 |       20.778 | 2020-01-01 18:38:35.133000 |     0 |       Idle |    1963 |    4864 |
| -157.57 |     -157.16 |         0.024 | False | 2020-01-01 18:38:35.133000 |      104.547 | 2020-01-01 18:40:19.680000 |    19 |     Moving |    2897 |    5843 |
| -157.16 |       -40.0 |       811.565 | False | 2020-01-01 18:40:19.680000 |      811.541 | 2020-01-01 18:53:51.221000 |     0 |       Idle |    2897 |    5843 |
|   -40.0 |       -40.0 |       815.484 | False | 2020-01-01 18:53:51.221000 |        3.919 | 2020-01-01 18:53:55.140000 |     0 |      Setup |    2897 |    5843 |
|   -40.0 |       -80.0 |       923.385 | False | 2020-01-01 18:53:55.140000 |      107.901 | 2020-01-01 18:55:43.041000 |     0 |       Idle |    2897 |    5843 |
|   -80.0 |       -80.0 |         0.022 | False | 2020-01-01 18:55:43.041000 |       66.159 | 2020-01-01 18:56:49.200000 |    12 |     Moving |    3502 |    3277 |
|   -80.0 |       -36.0 |       353.848 | False | 2020-01-01 18:56:49.200000 |      353.826 | 2020-01-01 19:02:43.026000 |     0 |       Idle |    3502 |    3277 |
|   -36.0 |       -36.0 |        355.58 | False | 2020-01-01 19:02:43.026000 |        1.732 | 2020-01-01 19:02:44.758000 |     0 |      Setup |    3502 |    3277 |
|   -36.0 |       -36.0 |       449.073 | False | 2020-01-01 19:02:44.758000 |       93.493 | 2020-01-01 19:04:18.251000 |     0 |       Idle |    3502 |    3277 |
|   -36.0 |       -36.0 |          0.02 | False | 2020-01-01 19:04:18.251000 |        11.83 | 2020-01-01 19:04:30.081000 |     2 |     Moving |    4951 |    2767 |
|   -36.0 |       -39.8 |       321.275 | False | 2020-01-01 19:04:30.081000 |      321.255 | 2020-01-01 19:09:51.336000 |     0 |       Idle |    4951 |    2767 |
|   -39.8 |      -48.79 |       327.365 | False | 2020-01-01 19:09:51.336000 |         6.09 | 2020-01-01 19:09:57.426000 |     0 |      Setup |    4951 |    2767 |
|  -48.79 |      -148.0 |       400.854 | False | 2020-01-01 19:09:57.426000 |       73.489 | 2020-01-01 19:11:10.915000 |     0 |       Idle |    4951 |    2767 |
|  -148.0 |      -148.0 |         0.024 | False | 2020-01-01 19:11:10.915000 |      136.862 | 2020-01-01 19:13:27.777000 |    20 |     Moving |    2686 |    5827 |
|  -148.0 |      -148.0 |       241.382 | False | 2020-01-01 19:13:27.777000 |      241.358 | 2020-01-01 19:17:29.135000 |     0 |       Idle |    2686 |    5827 |
|  -148.0 |      -148.0 |       245.643 | False | 2020-01-01 19:17:29.135000 |        4.261 | 2020-01-01 19:17:33.396000 |     0 |      Setup |    2686 |    5827 |
|  -148.0 |      -148.0 |       273.463 | False | 2020-01-01 19:17:33.396000 |        27.82 | 2020-01-01 19:18:01.216000 |     0 |       Idle |    2686 |    5827 |
|  -148.0 |      -148.0 |         0.021 | False | 2020-01-01 19:18:01.216000 |      150.975 | 2020-01-01 19:20:32.191000 |    12 |     Moving |    2738 |    5884 |
|  -148.0 |      -148.0 |      9240.019 | False | 2020-01-01 19:20:32.191000 |     9239.998 | 2020-01-01 21:54:32.189000 |     0 |       Idle |    2738 |    5884 |
|  -148.0 |      -148.0 |      9292.961 | False | 2020-01-01 21:54:32.189000 |       52.942 | 2020-01-01 21:55:25.131000 |     0 |      Setup |    2738 |    5884 |
|  -148.0 |      -148.0 |      9294.042 | False | 2020-01-01 21:55:25.131000 |        1.081 | 2020-01-01 21:55:26.212000 |     0 |       Idle |    2738 |    5884 |
|  -148.0 |      -148.0 |         0.029 | False | 2020-01-01 21:55:26.212000 |      151.788 |        2020-01-01 21:57:58 |    12 |     Moving |    4211 |    7019 |
|  -148.0 |      -148.0 |       166.433 | False |        2020-01-01 21:57:58 |      166.404 | 2020-01-01 22:00:44.404000 |     0 |       Idle |    4211 |    7019 |
|  -148.0 |      -148.0 |       171.059 | False | 2020-01-01 22:00:44.404000 |        4.626 | 2020-01-01 22:00:49.030000 |     0 |      Setup |    4211 |    7019 |
|  -148.0 |      -148.0 |       172.141 | False | 2020-01-01 22:00:49.030000 |        1.082 | 2020-01-01 22:00:50.112000 |     0 |       Idle |    4211 |    7019 |
|  -148.0 |      -148.0 |         0.022 | False | 2020-01-01 22:00:50.112000 |      151.981 | 2020-01-01 22:03:22.093000 |    12 |     Moving |    4268 |    7049 |
|  -148.0 |      -148.0 |        14.229 | False | 2020-01-01 22:03:22.093000 |       14.207 | 2020-01-01 22:03:36.300000 |     0 |       Idle |    4268 |    7049 |
|  -148.0 |      -148.0 |          0.02 | False | 2020-01-01 22:03:36.300000 |        7.403 | 2020-01-01 22:03:43.703000 |     0 |     Moving |    4271 |    7052 |
|  -148.0 |      -148.0 |        14.219 | False | 2020-01-01 22:03:43.703000 |       14.199 | 2020-01-01 22:03:57.902000 |     0 |       Idle |    4271 |    7052 |
|  -148.0 |      -148.0 |         0.019 | False | 2020-01-01 22:03:57.902000 |        7.601 | 2020-01-01 22:04:05.503000 |     0 |     Moving |    4276 |    7053 |
|  -148.0 |     -190.63 |      8650.501 | False | 2020-01-01 22:04:05.503000 |     8650.482 | 2020-01-02 00:28:15.985000 |     0 |       Idle |    4276 |    7053 |
| -190.63 |     -226.79 |      8674.644 | False | 2020-01-02 00:28:15.985000 |       24.143 | 2020-01-02 00:28:40.128000 |     0 |      Setup |    4276 |    7053 |
| -226.79 |     -254.31 |      8692.585 | False | 2020-01-02 00:28:40.128000 |       17.941 | 2020-01-02 00:28:58.069000 |     0 |       Idle |    4276 |    7053 |
| -254.31 |     -282.38 |         0.064 | False | 2020-01-02 00:28:58.069000 |      365.217 | 2020-01-02 00:35:03.286000 |    92 |     Moving |    5832 |    4721 |
| -282.38 |      -282.4 |          23.2 | False | 2020-01-02 00:35:03.286000 |       23.136 | 2020-01-02 00:35:26.422000 |     0 |       Idle |    5832 |    4721 |
|  -282.4 |     -344.01 |       750.654 | False | 2020-01-02 00:35:26.422000 |      727.454 | 2020-01-02 00:47:33.876000 |     0 |      Setup |    5832 |    4721 |
| -344.01 |      -338.0 |       754.472 | False | 2020-01-02 00:47:33.876000 |        3.818 | 2020-01-02 00:47:37.694000 |     0 |      Setup |    5832 |    4721 |
|  -338.0 |     -328.99 |       760.272 | False | 2020-01-02 00:47:37.694000 |          5.8 | 2020-01-02 00:47:43.494000 |     0 |       Idle |    5832 |    4721 |
| -328.99 |      -282.4 |         0.022 | False | 2020-01-02 00:47:43.494000 |       74.901 | 2020-01-02 00:48:58.395000 |    10 |     Moving |    6183 |    6557 |
